iter	RMSE
2166	0.0967506634
2167	0.09671844672
2168	0.0967000233
2169	0.09664638571
2170	0.0965649495
2171	0.09652298123
2172	0.09645761712
2173	0.09638259679
2174	0.09628235002
2175	0.09623567094
2176	0.09614669058
2177	0.09611016816
2178	0.09604523153
2179	0.09602457392
2180	0.09592990379
2181	0.09586991153
2182	0.0958273786
2183	0.09571003457
2184	0.09565202967
2185	0.09562125567
2186	0.09557112654
2187	0.09551504274
2188	0.09542657862
2189	0.095350345
2190	0.09529152078
2191	0.09520901338
2192	0.09513719276
2193	0.09505740626
2194	0.09495965509
2195	0.09492164061
2196	0.09488881192
2197	0.09484844949
2198	0.09477107645
2199	0.09472681914
2200	0.09467439714
2201	0.09462325744
2202	0.09458672046
2203	0.09451529438
2204	0.09438573004
2205	0.09432065865
2206	0.09424286988
2207	0.09414384715
2208	0.09406314534
2209	0.09400345288
2210	0.09395216771
2211	0.09390248146
2212	0.09387746833
2213	0.09377327231
2214	0.09368974425
2215	0.09364604497
2216	0.09360043154
2217	0.09356859279
2218	0.09353413548
2219	0.09344357799
2220	0.09337844776
2221	0.09333815183
2222	0.09331675901
2223	0.09325429339
2224	0.09317940018
2225	0.09308620835
2226	0.09297595567
2227	0.09292040064
2228	0.09283941986
2229	0.09280025049
2230	0.0927892726
2231	0.09269669494
2232	0.09267661444
2233	0.09265837041
2234	0.092621238
2235	0.09255101433
2236	0.09246315382
2237	0.09241155699
2238	0.09237741212
2239	0.09230225205
2240	0.09222548839
2241	0.09218562171
2242	0.09214581083
2243	0.09212411723
2244	0.09207699599
2245	0.09200560146
2246	0.09191045042
2247	0.09186888733
2248	0.09180801136
2249	0.09177275773
2250	0.09171818295
2251	0.09167567251
2252	0.09165816526
2253	0.09163106306
2254	0.09156228356
2255	0.0915048898
2256	0.09137824728
2257	0.0913355058
2258	0.09130413336
2259	0.09124769049
2260	0.09110660903
2261	0.09108355194
2262	0.09104652435
2263	0.09089714124
2264	0.09086903956
2265	0.09079526472
2266	0.0907322633
2267	0.09069376372
2268	0.09064412431
2269	0.09062502402
2270	0.09058675819
2271	0.09051925519
2272	0.09047686697
2273	0.09045387674
2274	0.09041473425
2275	0.09038784454
2276	0.090302162
2277	0.09029394232
2278	0.09024473647
2279	0.09021242007
2280	0.09011671915
2281	0.09006701077
2282	0.09003157601
2283	0.08994874572
2284	0.08990269511
2285	0.08987885502
2286	0.08985501737
2287	0.08978432879
2288	0.08973090444
2289	0.08965682538
2290	0.08957082966
2291	0.08951924779
2292	0.08948803797
2293	0.089440377
2294	0.0893894912
2295	0.08935173074
2296	0.08931620763
2297	0.08927625866
2298	0.08924463195
2299	0.08916244428
2300	0.08906930556
2301	0.08904292682
2302	0.08900433155
2303	0.08892311956
2304	0.0888913671
2305	0.08886005072
2306	0.08881206214
2307	0.08875471471
2308	0.08869516293
2309	0.08865879343
2310	0.08861889057
2311	0.08856041242
2312	0.08851707168
2313	0.08848348647
2314	0.08840834488
2315	0.08834162597
2316	0.08833655008
2317	0.08824994923
2318	0.08812112023
2319	0.0881018045
2320	0.08803868236
2321	0.08800743939
2322	0.08796679066
2323	0.08794264461
2324	0.08789767919
2325	0.08787945491
2326	0.08769599712
2327	0.08764568072
2328	0.0875576504
2329	0.08750771377
2330	0.08744344064
2331	0.08741090068
2332	0.08732288388
2333	0.08726912005
2334	0.08721827002
2335	0.08720679913
2336	0.08713140858
2337	0.08710881197
2338	0.08698780731
2339	0.08693140339
2340	0.08690139866
2341	0.08684754131
2342	0.08679363432
2343	0.08673911105
2344	0.08670190731
2345	0.08662597827
2346	0.08652318992
2347	0.08649143827
2348	0.08644233753
2349	0.08640482414
2350	0.08631763433
2351	0.08628948262
2352	0.08625397183
2353	0.08617192033
2354	0.08613799879
2355	0.08610408712
2356	0.08604421066
2357	0.08597253525
2358	0.08592813886
2359	0.08589030089
2360	0.08581952414
2361	0.08573524636
2362	0.08570434641
2363	0.0856717555
2364	0.08563298527
2365	0.08560366128
2366	0.08557500462
2367	0.08544395087
2368	0.0854034547
2369	0.08534917357
2370	0.0853172973
2371	0.08524298336
2372	0.08519930297
2373	0.0851617076
2374	0.0851369772
2375	0.08508902335
2376	0.08499734627
2377	0.0849828701
2378	0.08492507394
2379	0.08489627613
2380	0.08487990044
2381	0.0848139649
2382	0.08475272008
2383	0.08471714455
2384	0.08463722023
2385	0.08458889997
2386	0.08450640188
2387	0.08445192903
2388	0.08435396381
2389	0.0843266146
2390	0.08429189608
2391	0.08424049374
2392	0.0842113991
2393	0.08413097883
2394	0.08410175607
2395	0.08407609404
2396	0.08397691546
2397	0.08388708723
2398	0.08383747892
2399	0.08380588762
2400	0.08372352338
2401	0.08369570019
2402	0.08361484891
2403	0.08359107503
2404	0.0835505421
2405	0.08345357573
2406	0.08340939535
2407	0.08336624917
2408	0.08330706812
2409	0.08326373249
2410	0.08323448744
2411	0.08320836827
2412	0.08316329822
2413	0.08312514838
2414	0.08310618885
2415	0.08308488012
2416	0.08298585347
2417	0.08294906713
2418	0.08291056528
2419	0.08290089312
2420	0.08287672914
2421	0.08284599448
2422	0.08279946874
2423	0.08275693526
2424	0.08267512481
2425	0.08259565784
2426	0.08254753039
2427	0.08250761794
2428	0.08246037701
2429	0.08241273775
2430	0.0823824332
2431	0.08236047433
2432	0.08232969785
2433	0.08231718234
2434	0.0822550695
2435	0.08212251466
2436	0.08209123461
2437	0.08198017955
2438	0.08191555452
2439	0.08187032499
2440	0.08181336109
2441	0.0817572372
2442	0.08172620221
2443	0.08168164377
2444	0.08165644021
2445	0.08161394541
2446	0.08155783089
2447	0.08152239697
2448	0.08146705709
2449	0.081432376
2450	0.08139864634
2451	0.0813539273
2452	0.08127795014
2453	0.08124652023
2454	0.08118020905
2455	0.08101691993
2456	0.08094042994
2457	0.08091368586
2458	0.08084319916
2459	0.08075368093
2460	0.0806530848
2461	0.08061510844
2462	0.08059413395
2463	0.08054790299
2464	0.08049427543
2465	0.08044196093
2466	0.08041936877
2467	0.08040344033
2468	0.08036615709
2469	0.08034229507
2470	0.08032589043
2471	0.08026732076
2472	0.08022924367
2473	0.08020223741
2474	0.08011341025
2475	0.08005962029
2476	0.08000510631
2477	0.07991820618
2478	0.07987922788
2479	0.07986378427
2480	0.07980973335
2481	0.0797640496
2482	0.07973328215
2483	0.07969256173
2484	0.07962319423
2485	0.07960410333
2486	0.0795803573
2487	0.07950759286
2488	0.07944972308
2489	0.07942084718
2490	0.07935138993
2491	0.07925705539
2492	0.07920669168
2493	0.07915870669
2494	0.07912240119
2495	0.0790655474
2496	0.078977411
2497	0.07893439171
2498	0.07888177028
2499	0.07885315131
2500	0.07880036312
2501	0.07875138191
2502	0.07871985205
2503	0.07862724518
2504	0.07858724779
2505	0.07853925706
2506	0.07851476938
2507	0.0784419806
